user_id,Landmark_ID,action,timestamp,time_spent,rating
1,REL_02,love,2025-03-04 13:02:00,,
1,MOD_02,view,2025-03-23 04:43:00,98.0,
1,NAT_02,view,2025-02-26 14:32:00,172.0,
1,NAT_03,rate,2025-02-23 16:02:00,,3.0
1,ANC_03,view,2025-03-20 20:26:00,119.0,
1,MOD_03,view,2025-04-05 00:01:00,144.0,
1,NAT_02,rate,2025-03-25 08:03:00,,3.0
1,NAT_01,view,2025-02-03 18:32:00,93.0,
1,REL_01,rate,2025-03-07 16:47:00,,2.0
1,Anc_01,love,2025-02-11 01:18:00,,
2,MOD_04,rate,2025-02-11 08:17:00,,3.0
2,ANC_04,view,2025-03-02 17:09:00,78.0,
2,ANC_04,view,2025-03-03 14:06:00,171.0,
2,REL_01,love,2025-04-01 11:47:00,,
2,TMP_01,rate,2025-03-11 15:00:00,,1.0
2,NAT_02,love,2025-03-25 12:43:00,,
2,NAT_03,view,2025-02-04 12:10:00,75.0,
3,Anc_01,love,2025-02-02 00:58:00,,
3,NAT_04,view,2025-02-25 14:06:00,137.0,
3,MOD_02,view,2025-03-04 21:35:00,128.0,
3,TMP_03,love,2025-03-15 00:56:00,,
3,MOD_02,love,2025-03-08 18:20:00,,
3,MOD_03,view,2025-04-08 08:17:00,124.0,
3,TMP_02,love,2025-04-08 04:26:00,,
3,TMP_03,love,2025-03-05 02:24:00,,
3,MOD_01,view,2025-03-05 20:46:00,600.0,
3,NAT_01,love,2025-03-05 14:22:00,,
3,TMP_01,rate,2025-04-04 20:51:00,,3.0
3,NAT_01,love,2025-02-28 20:17:00,,
3,TMP_03,rate,2025-03-18 20:36:00,,2.0
3,TMP_02,rate,2025-02-15 14:00:00,,3.0
3,TMP_01,view,2025-03-31 07:06:00,233.0,
3,NAT_03,view,2025-03-14 14:02:00,108.0,
3,NAT_04,love,2025-03-05 20:36:00,,
3,ANC_05,view,2025-02-13 14:28:00,103.0,
3,MOD_05,view,2025-04-10 23:08:00,80.0,
3,NAT_03,love,2025-04-01 09:31:00,,
3,ANC_04,view,2025-03-10 09:35:00,53.0,
3,REL_05,view,2025-02-23 05:01:00,188.0,
3,ANC_02,love,2025-03-04 16:54:00,,
3,NAT_05,love,2025-02-23 06:22:00,,
3,NAT_05,view,2025-02-05 05:09:00,107.0,
3,NAT_02,love,2025-03-10 13:42:00,,
4,MOD_04,view,2025-04-02 21:46:00,128.0,
4,TMP_03,rate,2025-03-05 15:09:00,,3.0
4,NAT_04,love,2025-03-08 18:14:00,,
4,NAT_04,view,2025-04-02 10:11:00,135.0,
4,NAT_01,view,2025-03-11 11:56:00,161.0,
4,TMP_05,rate,2025-04-01 20:46:00,,5.0
4,REL_02,view,2025-03-08 16:21:00,118.0,
5,REL_02,view,2025-03-22 11:01:00,74.0,
5,MOD_02,love,2025-02-04 07:46:00,,
5,REL_04,rate,2025-03-11 21:53:00,,1.0
5,TMP_03,view,2025-02-27 18:10:00,177.0,
5,NAT_02,view,2025-03-20 15:06:00,169.0,
5,REL_03,view,2025-02-17 13:50:00,267.0,
5,TMP_01,love,2025-02-07 16:54:00,,
5,REL_04,view,2025-02-26 12:15:00,140.0,
5,TMP_02,love,2025-02-19 15:47:00,,
5,MOD_04,view,2025-03-21 15:54:00,90.0,
5,NAT_03,view,2025-03-30 16:38:00,290.0,
5,TMP_04,rate,2025-03-01 23:10:00,,1.0
5,MOD_02,love,2025-03-18 23:06:00,,
5,TMP_02,love,2025-04-05 11:22:00,,
5,NAT_05,view,2025-04-05 22:20:00,135.0,
5,REL_01,view,2025-03-21 00:21:00,75.0,
5,TMP_05,love,2025-02-13 05:33:00,,
5,TMP_03,view,2025-03-04 06:57:00,274.0,
5,TMP_04,love,2025-02-01 01:45:00,,
5,TMP_01,love,2025-03-10 07:11:00,,
5,REL_03,view,2025-03-02 12:35:00,164.0,
5,TMP_05,view,2025-03-25 22:08:00,222.0,
5,REL_03,view,2025-02-17 05:58:00,46.0,
5,NAT_04,view,2025-02-23 15:17:00,140.0,
5,REL_01,view,2025-02-06 01:40:00,83.0,
5,REL_04,love,2025-03-27 14:16:00,,
5,TMP_03,love,2025-02-12 12:12:00,,
5,TMP_02,love,2025-02-21 06:39:00,,
5,ANC_02,rate,2025-02-14 09:12:00,,4.0
5,NAT_03,view,2025-04-08 13:05:00,136.0,
5,NAT_03,love,2025-04-09 19:49:00,,
5,REL_02,view,2025-03-30 18:27:00,211.0,
5,NAT_01,rate,2025-03-03 22:48:00,,2.0
5,MOD_02,view,2025-02-06 13:15:00,69.0,
5,MOD_05,view,2025-03-10 22:51:00,130.0,
5,MOD_05,love,2025-04-02 18:24:00,,
5,TMP_02,view,2025-03-15 22:09:00,109.0,
5,MOD_05,rate,2025-03-07 23:39:00,,4.0
5,NAT_04,love,2025-04-07 14:12:00,,
5,REL_01,rate,2025-04-08 23:34:00,,1.0
5,REL_01,love,2025-02-15 01:50:00,,
5,TMP_01,view,2025-02-17 23:06:00,146.0,
5,TMP_04,view,2025-02-27 23:48:00,96.0,
5,TMP_02,view,2025-03-06 16:38:00,532.0,
5,NAT_03,rate,2025-03-17 08:28:00,,5.0
5,TMP_03,love,2025-02-07 08:37:00,,
5,REL_01,love,2025-02-17 03:38:00,,
5,REL_02,rate,2025-03-16 06:26:00,,3.0
5,ANC_05,view,2025-04-01 12:50:00,157.0,
5,TMP_02,view,2025-02-23 02:56:00,59.0,
5,NAT_05,love,2025-02-08 04:18:00,,
5,MOD_04,rate,2025-04-06 14:29:00,,5.0
5,NAT_02,view,2025-02-28 12:01:00,79.0,
5,NAT_05,view,2025-04-05 20:37:00,113.0,
5,TMP_02,love,2025-03-26 10:43:00,,
5,MOD_05,view,2025-03-13 06:47:00,136.0,
5,TMP_04,love,2025-02-14 13:38:00,,
5,REL_03,rate,2025-02-09 12:00:00,,3.0
5,NAT_03,view,2025-02-13 16:36:00,82.0,
5,MOD_03,rate,2025-02-03 06:04:00,,3.0
